date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup,winner,point_difference,home_team_win_perc,away_team_win_perc,home_team_form_perc,away_team_form_perc,home_team_h2h_win_perc,away_team_h2h_win_perc,home_team_ranking_points,away_team_ranking_points,home_team_rust_days,away_team_rust_days,rust_diff,ranking_diff,form_diff,h2h_diff,winner_encoded
1992-01-18,Ireland,Wales,15,16,1992 Five Nations Championship,Lansdowne Road,Dublin,Ireland,0,0,away_win,1,0.5,0.5,0.5,0.5,0.5,0.5,73.42273131895578,76.75471196863694,180,180,0,-3.3319806496811566,0.0,0.0,0
1992-01-18,Scotland,England,7,25,1992 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,0,0,away_win,18,0.5,0.5,0.5,0.5,0.5,0.5,78.26708628801023,84.39124819202078,180,180,0,-6.124161904010549,0.0,0.0,0
1992-02-01,Wales,France,9,12,1992 Five Nations Championship,National Stadium,Cardiff,Wales,0,0,away_win,3,1.0,0.5,1.0,0.5,0.5,0.5,75.99166796609597,79.88731594576828,14,180,-166,-3.8956479796723045,0.5,0.0,0
1992-02-01,England,Ireland,38,9,1992 Five Nations Championship,Twickenham,London,England,0,0,home_win,29,1.0,0.0,1.0,0.0,0.5,0.5,84.24597066106104,73.56800884991553,14,14,0,10.677961811145508,1.0,0.0,1
1992-02-15,France,England,13,31,1992 Five Nations Championship,Parc des Princes,Paris,France,0,0,away_win,18,1.0,1.0,1.0,1.0,0.5,0.5,79.0411141530622,85.09217245376712,14,14,0,-6.0510583007049235,0.0,0.0,0
1992-02-15,Ireland,Scotland,10,18,1992 Five Nations Championship,Lansdowne Road,Dublin,Ireland,0,0,away_win,8,0.0,0.0,0.0,0.0,0.5,0.5,73.037916593725,78.79717854420076,14,28,-14,-5.759261950475761,0.0,0.0,0
1992-03-07,England,Wales,24,0,1992 Five Nations Championship,Twickenham,London,England,0,0,home_win,24,1.0,0.5,1.0,0.5,0.5,0.5,85.22709678061645,75.85674363924664,21,35,-14,9.370353141369804,0.5,0.0,1
1992-03-07,Scotland,France,10,6,1992 Five Nations Championship,Murrayfield,Edinburgh,Scotland,0,0,home_win,4,0.5,0.5,0.5,0.5,0.5,0.5,79.8215721050869,78.01672059217606,21,21,0,1.8048515129108438,0.0,0.0,1
1992-03-21,France,Ireland,44,12,1992 Five Nations Championship,Parc des Princes,Paris,France,0,0,home_win,32,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.5,78.7698999924084,72.28473719349266,14,35,-21,6.485162798915738,0.3333333333333333,0.0,1
1992-03-21,Wales,Scotland,15,12,1992 Five Nations Championship,National Stadium,Cardiff,Wales,0,0,home_win,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,77.25322648583067,78.42508925850288,14,14,0,-1.1718627726722133,-0.3333333333333333,0.0,1
1992-05-30,New Zealand,Ireland,24,21,1992 Ireland rugby union tour of New Zealand,Carisbrook,Dunedin,New Zealand,0,0,home_win,3,0.5,0.0,0.5,0.0,0.5,0.5,85.51423185778111,72.64356993396916,180,70,110,12.870661923811952,0.5,0.0,1
